created_date,job_title,job_title,min_salary,max_salary,salary_unit,city,district
2023-08-01,Project Manager_Salary Up To $3000,Project Manager_Salary Up To $3000,,,VND,Hồ Chí Minh: Quận 9: Hà Nội: Cầu Giấy: Đà Nẵng: Ngũ Hành Sơn: Thừa Thiên Huế: TP Huế,
2023-08-01,Bridge Software Engineer (.Net/Azure/Devops),Bridge Software Engineer (.Net/Azure/Devops),,,VND,Hồ Chí Minh,Quận 9
2023-08-01,Senior Account,Senior Account,25.0,,VND,Hà Nội,Đống Đa
2023-08-01,Senior PHP,Senior PHP,,,VND,Hồ Chí Minh,Quận 3
2023-08-01,Android Developer,Software Engineer,10.0,15.0,VND,Hà Nội,Cầu Giấy
2023-08-01,Nhân Viên Thiết Kế Website - Lương Cứng 10 -17 Triệu (UI/UX),Nhân Viên Thiết Kế Website - Lương Cứng 10 -17 Triệu (UI/UX),12.0,20.0,VND,Hà Nội,
2023-08-01,Senior Unity Engineer,Senior Unity Engineer,,,VND,Hà Nội,Cầu Giấy
2023-08-01,"Nhân Viên Phát Triển Thị Trường B2B Hàn Quốc ( Từ 1 Năm Kinh Nghiệm, Tiếng Hàn Tốt ) Offer Upto","Nhân Viên Phát Triển Thị Trường B2B Hàn Quốc ( Từ 1 Năm Kinh Nghiệm, Tiếng Hàn Tốt ) Offer Upto",,,VND,Hà Nội,Cầu Giấy
2023-08-01,Lập Trình Viên Full Stack,Lập Trình Viên Full Stack,10.0,,VND,Nghệ An,TP Vinh
2023-08-01,Devops Tại Hà Nội,Devops Tại Hà Nội,1700.0,,USD,Hà Nội,Đống Đa
2023-08-01,Business Analyst (Software Detail Design Engineer),Business Analyst (Software Detail Design Engineer),,,VND,Hồ Chí Minh,Quận 3
2023-08-01,Product Manager/Project Manager - Dự Án Giáo Dục.,Product Manager/Project Manager - Dự Án Giáo Dục.,,,VND,Hà Nội,
2023-08-01,Senior Software Tester,Senior Software Tester,20.0,35.0,VND,Hà Nội,Cầu Giấy
2023-08-01,Python Dev,Python Dev,13.0,22.0,VND,Hà Nội,Thanh Xuân
2023-08-01,Nhân Viên IT,Nhân Viên IT,10.0,12.0,VND,Hà Nội,Nam Từ Liêm
2023-08-01,Security Engineer (Incident Response),Security Engineer (Incident Response),,,VND,Hà Nội,
2023-08-01,Security Engineer (Pentesting),Security Engineer (Pentesting),,,VND,Hà Nội,
2023-08-01,Python Developer (Có Nhận Fresher),Software Engineer,25.0,,VND,Hà Nội,Thanh Xuân
2023-08-01,Business Analyst (Up To 1800$),Business Analyst (Up To 1800$),1800.0,,USD,Hà Nội,Nam Từ Liêm
2023-08-01,Full Stack Developer (Nodejs/Reactjs) - Senior,Software Engineer,2500.0,,USD,Hà Nội,Cầu Giấy
2023-08-01,Full Stack Developer (Senior),Software Engineer,1500.0,,USD,Hà Nội,Cầu Giấy
2023-08-01,Nhân Viên Kỹ Thuật Mạng,Nhân Viên Kỹ Thuật Mạng,9.0,15.0,VND,Hồ Chí Minh,Gò Vấp
2023-08-01,Thực Tập Sinh Kỹ Thuật Mạng,Thực Tập Sinh Kỹ Thuật Mạng,,,VND,Hồ Chí Minh,Gò Vấp
2023-08-01,IT Helpdesk Hỗ Trợ Kỹ Thuật Tại Hồ Chí Minh,IT Helpdesk Hỗ Trợ Kỹ Thuật Tại Hồ Chí Minh,8.0,10.0,VND,Hồ Chí Minh,Phú Nhuận
2023-08-01,Chuyên Viên Vận Hành Cloud (Ngành Công Nghệ Thông Tin - Thu Nhập Up To 60M),Chuyên Viên Vận Hành Cloud (Ngành Công Nghệ Thông Tin - Thu Nhập Up To 60M),30.0,60.0,VND,Nước Ngoài: Hà Nội: Nam Từ Liêm,
2023-08-01,Senior Front-End Developer,Software Engineer,35.0,,VND,Hà Nội,Cầu Giấy
2023-08-01,React Native Developer Spoken English (Upto 40M),Software Engineer,40.0,,VND,Hà Nội: Hồ Chí Minh: Đà Nẵng: Thừa Thiên Huế,
2023-08-01,Python Developer Spoken English (Upto 40M),Software Engineer,40.0,,VND,Hà Nội: Hồ Chí Minh: Thừa Thiên Huế: Đà Nẵng,
2023-08-01,.Net Senior Developer,Software Engineer,20.0,,VND,Hà Nội,
2023-08-01,Chuyên Viên IT ERP/ Helpdesk,Chuyên Viên IT ERP/ Helpdesk,9.0,11.0,VND,Hà Nội,Đống Đa
2023-08-01,UI/UX Designer,UI/UX Designer,,,VND,Hà Nội,Thanh Xuân
2023-08-01,Business Development,Business Development,,,VND,Hà Nội,Thanh Xuân
2023-08-01,24/7 .Net Developer,Software Engineer,,,VND,Hà Nội,Đống Đa
2023-08-01,IT Business Analyst (Finance/ Bank Experienced),IT Business Analyst (Finance/ Bank Experienced),,,VND,Hồ Chí Minh,Tân Bình
2023-08-01,Nhân Viên Giám Sát Camera,Nhân Viên Giám Sát Camera,,,VND,Hồ Chí Minh,Quận 7
2023-08-01,Senior .Net Developers,Software Engineer,,,VND,Hà Nội,Đống Đa
2023-08-01,Technical Leader (Vuejs/Nodejs/Java/Fullstack),Technical Leader (Vuejs/Nodejs/Java/Fullstack),,,VND,Hà Nội,Thanh Xuân
2023-08-01,Android Developers Biết Tiếng Trung,Software Engineer,,,VND,Hà Nội,Nam Từ Liêm
2023-08-01,Senior Business Analyst (Phân Tích Nghiệp Vụ) [Hà Nội],Senior Business Analyst (Phân Tích Nghiệp Vụ) [Hà Nội],35.0,,VND,Hà Nội,Nam Từ Liêm
2023-08-01,Lập Trình Viên PHP,Lập Trình Viên PHP,15.0,25.0,VND,Hà Nội,Cầu Giấy
2023-08-01,Nhân Viên Kỹ Thuật Máy Tính - Máy In,Nhân Viên Kỹ Thuật Máy Tính - Máy In,10.0,,VND,Long An,Bến Lức
2023-08-01,Tester Onsite,Tester Onsite,15.0,20.0,VND,Hà Nội,Thanh Xuân
2023-08-01,Solution Architect - Hà Nội,Solution Architect - Hà Nội,,,VND,Hà Nội,
2023-08-01,Lập Trình Viên Backend PHP,Lập Trình Viên Backend PHP,8.0,20.0,VND,Hà Nội,
2023-08-01,Chuyên Viên Lập Trình - Mobile Dev,Chuyên Viên Lập Trình - Mobile Dev,15.0,,VND,Hà Nội,Long Biên
2023-08-01,Data Engineer (Attractive Salary) - Top 1 Edtech Companies In Vietnam,Data Engineer (Attractive Salary) - Top 1 Edtech Companies In Vietnam,35.0,,VND,Hà Nội,
2023-08-01,PHP Developer,Software Engineer,800.0,2000.0,USD,Hà Nội,Tây Hồ
2023-08-01,IOS Developer,Software Engineer,,,VND,Hà Nội,Tây Hồ
2023-08-01,React JS,React JS,,,VND,Hà Nội,Cầu Giấy
